threshold,fraction_of_draws_played,mean_jackpot_when_played,mean_other_tickets_when_played,jackpot_ev_per_line,fixed_tier_ev_per_line,total_ev_per_line,return_per_dollar,game
5000000,1.0,7322456.0,10108897.474062294,0.37373609692955634,0.2622907080585156,0.636026804988072,0.212008934996024,649
12000000,0.053211,14609404.070586909,24222580.818660192,0.5348322517224016,0.2622907080585156,0.7971229597809172,0.2657076532603057,649
20000000,0.001062,20209039.548022598,36882776.362893246,0.5613821944244805,0.2622907080585156,0.8236729024829961,0.2745576341609987,649
10000000,1.0,21842904.0,28774248.96063036,0.14517523762654225,0.3161652211585552,0.46134045878509744,0.3075603058567316,max
40000000,0.064768,46776371.04743083,74523391.64543116,0.2754142788722538,0.3161652211585552,0.5915795000308091,0.3943863333538727,max
60000000,0.002387,64840385.42103058,113691697.88844141,0.3408966494236564,0.3161652211585552,0.6570618705822115,0.4380412470548077,max
80000000,1.6e-05,83250000.0,157232146.67064074,0.38771524190561407,0.3161652211585552,0.7038804630641693,0.46925364204277953,max
